chemical_compound_name,formula,calculation_method,Cp_298_J_per_molK,smiles,pubchem_cid,pubchem_matched_name,lookup_status,row_count
"(1R,3R)-1,3-dimethylcyclopentane",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,134.839,C[C@@H]1CC[C@@H](C)C1,15656.0,"trans-(1R,3R)-1,3-dimethylcyclopentane",ok,1
"(E)-1,3-pentadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,97.747,C=C/C=C/C,62204.0,"(3E)-penta-1,3-diene",ok,1
(E)-2-butenal,C4H6O,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,88.899,C/C=C\C=O,643950.0,(Z)-but-2-enal,ok,1
(E)-2-butene,C4H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,85.86,C/C=C/C,62695.0,(E)-but-2-ene,ok,1
(E)-2-butenenitrile,C4H5N,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,85.846,C/C=C/C#N,637921.0,(E)-but-2-enenitrile,ok,1
(E)-2-hexene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,126.68,C/C=C/CCC,639661.0,(E)-hex-2-ene,ok,1
(E)-2-pentene,C5H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,106.107,C/C=C/CC,5326161.0,(E)-pent-2-ene,ok,1
(E)-3-hexene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,126.365,CC/C=C/CC,638066.0,(E)-hex-3-ene,ok,1
(E)-3-methyl-2-pentene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,129.856,C/C=C(\C)CC,642661.0,(E)-3-methylpent-2-ene,ok,1
(E)-4-methyl-2-pentene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,129.393,C/C=C/C(C)C,172092.0,(E)-4-methylpent-2-ene,ok,1
"(Z)-1,3-pentadiene",C5H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,97.21,C=C/C=C\C,643785.0,"(3Z)-penta-1,3-diene",ok,1
(Z)-2-butene,C4H8,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,85.435,C/C=C\C,5287573.0,(Z)-but-2-ene,ok,1
(Z)-2-butenenitrile,C4H5N,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,85.004,C/C=C\C#N,643774.0,(Z)-but-2-enenitrile,ok,1
(Z)-2-heptene,C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,146.597,C/C=C\CCCC,643836.0,(Z)-hept-2-ene,ok,1
(Z)-2-hexene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,126.043,C/C=C\CCC,643835.0,(Z)-hex-2-ene,ok,1
(Z)-2-pentene,C5H10,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,105.555,C/C=C\CC,5326160.0,(Z)-pent-2-ene,ok,1
(Z)-3-heptene,C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,146.142,CC/C=C\CCC,5357258.0,(Z)-hept-3-ene,ok,1
(Z)-3-hexene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,125.71,CC/C=C\CC,643783.0,(Z)-hex-3-ene,ok,1
(Z)-3-methyl-2-pentene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,129.573,C/C=C(/C)CC,643935.0,(Z)-3-methylpent-2-ene,ok,1
(Z)-4-methyl-2-pentene,C6H12,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,128.949,C/C=C\C(C)C,5326159.0,(Z)-4-methylpent-2-ene,ok,1
.gamma.-butyrolactone,C4H6O2,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,86.85,O=C1CCCO1,7302.0,oxolan-2-one,ok,1
"1,1,1,2,2-pentachloro-2-fluoroethane",C2Cl5F,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,132.367,FC(Cl)(Cl)C(Cl)(Cl)Cl,61107.0,"1,1,1,2,2-pentachloro-2-fluoroethane",ok,1
"1,1-diethoxyethane",C6H14O2,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,163.326,CCOC(C)OCC,7765.0,"1,1-diethoxyethane",ok,1
"1,1-dimethylcyclohexane",C8H16,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,154.638,CC1(C)CCCCC1,11549.0,"1,1-dimethylcyclohexane",ok,1
"1,1-dimethylcyclopentane",C7H14,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,136.142,CC1(C)CCCC1,15421.0,"1,1-dimethylcyclopentane",ok,1
"1,1-dimethylethyl ethanoate",C6H12O2,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,160.86,,,,failed:None,1
"1,2,3,4-tetrahydronaphthalene",C10H12,b3lyp/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//B3LYP/def2-tzvp,147.454,c1ccc2c(c1)CCCC2,8404.0,"1,2,3,4-tetrahydronaphthalene",ok,1
