Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,19.72129254751422,28.257073222265547,19.72129254751422
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.70851033596948,32.38503133311547,23.70851033596948
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.120470037012915,29.81340637271433,22.120470037012915
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,21.95951080154359,28.493722029557077,21.95951080154359
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.550008229682486,29.545642251075417,22.550008229682486
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,26.679759470214748,35.877083745010616,26.679759470214748
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,31.01798369618584,47.32655043778927,31.01798369618584
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,38.52368553434287,57.24385540063113,38.52368553434287
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,45.8258335897636,77.76339362330238,45.8258335897636
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,97.10543588522351,161.24758940514462,97.10543588522351
